fecha,hora,modelo,operacion,tiempo,input,cached_input,output,coste
2026-07-19,09:34:25,gpt-5.4-mini,importar_test_imagen,2.26,2118,0,216,0.002561
2026-07-19,09:34:28,gpt-5.4-mini,importar_test_imagen,2.96,2502,0,311,0.003276
2026-07-19,09:34:32,gpt-5.4-mini,importar_test_imagen,3.18,2502,0,360,0.003496
2026-07-19,09:34:35,gpt-5.4-mini,importar_test_imagen,2.92,2195,1792,295,0.002974
2026-07-19,09:34:39,gpt-5.4-mini,importar_test_imagen,3.40,2502,0,410,0.003721
2026-07-19,09:34:41,gpt-5.4-mini,importar_test_imagen,1.81,2195,0,201,0.002551
2026-07-19,09:34:43,gpt-5.4-mini,importar_test_imagen,2.54,2272,0,241,0.002789
2026-07-19,09:34:45,gpt-5.4-mini,importar_test_imagen,1.85,2195,0,173,0.002425
2026-07-19,09:34:47,gpt-5.4-mini,importar_test_imagen,2.09,2195,0,195,0.002524
2026-07-19,09:34:50,gpt-5.4-mini,importar_test_imagen,2.56,2272,0,270,0.002919
2026-07-19,09:34:52,gpt-5.4-mini,importar_test_imagen,2.10,2118,0,179,0.002394
2026-07-19,09:34:55,gpt-5.4-mini,importar_test_imagen,2.64,2195,1792,317,0.003073
2026-07-19,09:34:57,gpt-5.4-mini,importar_test_imagen,1.97,2272,0,96,0.002136
2026-07-19,09:35:00,gpt-5.4-mini,importar_test_imagen,2.31,2195,0,306,0.003023
2026-07-19,09:35:03,gpt-5.4-mini,importar_test_imagen,2.61,2272,0,283,0.002978
2026-07-19,09:35:07,gpt-5.4-mini,importar_test_imagen,3.76,2733,0,506,0.004327
2026-07-19,09:35:10,gpt-5.4-mini,importar_test_imagen,2.78,2426,0,322,0.003268
2026-07-19,09:35:11,gpt-5.4-mini,importar_test_imagen,1.75,2272,1792,169,0.002465
2026-07-19,09:35:16,gpt-5.4-mini,importar_test_imagen,3.80,2502,0,393,0.003645
2026-07-19,09:35:18,gpt-5.4-mini,importar_test_imagen,2.14,2118,0,203,0.002502
2026-07-19,09:35:20,gpt-5.4-mini,importar_test_imagen,2.10,2426,0,214,0.002782
2026-07-19,09:35:22,gpt-5.4-mini,importar_test_imagen,1.93,2272,0,208,0.002640
2026-07-19,09:35:25,gpt-5.4-mini,importar_test_imagen,2.36,2195,0,251,0.002776
2026-07-19,09:35:30,gpt-5.4-mini,importar_test_imagen,5.13,2426,0,363,0.003453
2026-07-19,09:35:34,gpt-5.4-mini,importar_test_imagen,3.49,2426,0,372,0.003494
